datetime,cash,pos,equity,peak,dd
2026-04-27 13:30:00,298706.0,-1,299006.0,300298.0,-0.4302392956330046
2026-04-27 14:00:00,298706.0,-1,299006.0,300298.0,-0.4302392956330046
2026-04-27 14:30:00,298706.0,-1,299066.0,300298.0,-0.4102591425850322
2026-04-28 01:00:00,298706.0,-1,299226.0,300298.0,-0.35697873445710593
2026-04-28 01:30:00,298706.0,-1,299366.0,300298.0,-0.31035837734517047
2026-04-28 02:00:00,298706.0,-1,299386.0,300298.0,-0.3036983263291797
2026-04-28 02:45:00,298706.0,-1,299346.0,300298.0,-0.31701842836116123
2026-04-28 03:15:00,298706.0,-1,299306.0,300298.0,-0.3303385303931428
2026-04-28 05:45:00,298706.0,-1,299346.0,300298.0,-0.31701842836116123
2026-04-28 06:15:00,298706.0,-1,299306.0,300298.0,-0.3303385303931428
2026-04-28 06:45:00,298706.0,-1,299346.0,300298.0,-0.31701842836116123
2026-04-28 13:00:00,298706.0,-1,299386.0,300298.0,-0.3036983263291797
2026-04-28 13:30:00,298706.0,-1,299306.0,300298.0,-0.3303385303931428
2026-04-28 14:00:00,298706.0,-1,299326.0,300298.0,-0.323678479377152
2026-04-28 14:30:00,298706.0,-1,299406.0,300298.0,-0.2970382753131889
2026-04-29 01:00:00,298706.0,-1,299426.0,300298.0,-0.2903782242971981
2026-04-29 01:30:00,298706.0,-1,299426.0,300298.0,-0.2903782242971981
2026-04-29 02:00:00,299382.0,1,299382.0,300298.0,-0.3050303365323778
2026-04-29 02:45:00,299382.0,1,299382.0,300298.0,-0.3050303365323778
2026-04-29 03:15:00,299382.0,1,299402.0,300298.0,-0.29837028551638706
2026-04-29 05:45:00,299338.0,-1,299358.0,300298.0,-0.3130223977515668
2026-04-29 06:15:00,299338.0,-1,299378.0,300298.0,-0.306362346735576
2026-04-29 06:45:00,299338.0,-1,299378.0,300298.0,-0.306362346735576
2026-04-29 13:00:00,299338.0,-1,299478.0,300298.0,-0.27306209165562206
2026-04-29 13:30:00,299338.0,-1,299458.0,300298.0,-0.27972214267161283
2026-04-29 14:00:00,299338.0,-1,299498.0,300298.0,-0.2664020406396313
2026-04-29 14:30:00,299338.0,-1,299518.0,300298.0,-0.25974198962364053
2026-04-30 01:00:00,299338.0,-1,299358.0,300298.0,-0.3130223977515668
2026-04-30 01:30:00,299338.0,-1,299358.0,300298.0,-0.3130223977515668
2026-04-30 02:00:00,299338.0,-1,299398.0,300298.0,-0.29970229571958523
2026-04-30 02:45:00,299338.0,-1,299058.0,300298.0,-0.41292316299142856
2026-04-30 03:15:00,299338.0,-1,298978.0,300298.0,-0.4395633670553917
2026-04-30 05:45:00,299338.0,-1,299038.0,300298.0,-0.41958321400741927
2026-04-30 06:15:00,299338.0,-1,298958.0,300298.0,-0.4462234180713824
2026-04-30 06:45:00,299338.0,-1,298958.0,300298.0,-0.4462234180713824
2026-05-06 01:00:00,299338.0,-1,298838.0,300298.0,-0.48618372416732714
2026-05-06 01:30:00,299338.0,-1,298758.0,300298.0,-0.5128239282312903
2026-05-06 02:00:00,299338.0,-1,298778.0,300298.0,-0.5061638772152994
2026-05-06 02:45:00,298734.0,1,298654.0,300298.0,-0.5474561935144423
2026-05-06 03:15:00,298734.0,1,298674.0,300298.0,-0.5407961424984515
2026-05-06 05:45:00,298734.0,1,298714.0,300298.0,-0.52747604046647
2026-05-06 06:15:00,298734.0,1,298734.0,300298.0,-0.5208159894504791
2026-05-06 06:45:00,298734.0,1,298754.0,300298.0,-0.5141559384344885
2026-05-06 13:00:00,298734.0,1,298654.0,300298.0,-0.5474561935144423
2026-05-06 13:30:00,298734.0,1,298674.0,300298.0,-0.5407961424984515
2026-05-06 14:00:00,298650.0,-1,298630.0,300298.0,-0.5554482547336312
2026-05-06 14:30:00,298650.0,-1,298630.0,300298.0,-0.5554482547336312
2026-05-07 01:00:00,298650.0,-1,298510.0,300298.0,-0.5954085608295759
2026-05-07 01:30:00,298650.0,-1,298670.0,300298.0,-0.5421281527016497
2026-05-07 02:00:00,298626.0,1,298726.0,300298.0,-0.5234800098568755
2026-05-07 02:45:00,298626.0,1,298726.0,300298.0,-0.5234800098568755
2026-05-07 03:15:00,298626.0,1,298826.0,300298.0,-0.49017975477692155
2026-05-07 05:45:00,298626.0,1,298966.0,300298.0,-0.44355939766498614
2026-05-07 06:15:00,298626.0,1,298986.0,300298.0,-0.4368993466489953
2026-05-07 06:45:00,298626.0,1,298926.0,300298.0,-0.45687949969696773
2026-05-07 13:00:00,298626.0,1,298886.0,300298.0,-0.47019960172894926
2026-05-07 13:30:00,298626.0,1,298886.0,300298.0,-0.47019960172894926
2026-05-07 14:00:00,298626.0,1,298886.0,300298.0,-0.47019960172894926
2026-05-07 14:30:00,298626.0,1,298886.0,300298.0,-0.47019960172894926
2026-05-08 01:00:00,298626.0,1,298786.0,300298.0,-0.5034998568089031
2026-05-08 01:30:00,298626.0,1,298846.0,300298.0,-0.48351970376093084
2026-05-08 02:00:00,298626.0,1,298686.0,300298.0,-0.5368001118888571
2026-05-08 02:45:00,298626.0,1,298686.0,300298.0,-0.5368001118888571
2026-05-08 03:15:00,298626.0,1,298546.0,300298.0,-0.5834204690007926
2026-05-08 05:45:00,298626.0,1,298446.0,300298.0,-0.6167207240807464
2026-05-08 06:15:00,298626.0,1,298446.0,300298.0,-0.6167207240807464
2026-05-08 06:45:00,298626.0,1,298466.0,300298.0,-0.6100606730647556
2026-05-08 13:00:00,298382.0,-1,298222.0,300298.0,-0.6913132954598432
2026-05-08 13:30:00,298382.0,-1,298262.0,300298.0,-0.6779931934278617
2026-05-08 14:00:00,298382.0,-1,298242.0,300298.0,-0.6846532444438524
2026-05-08 14:30:00,298382.0,-1,298302.0,300298.0,-0.66467309139588
2026-05-11 01:00:00,298382.0,-1,298262.0,300298.0,-0.6779931934278617
2026-05-11 01:30:00,298382.0,-1,298142.0,300298.0,-0.7179534995238064
2026-05-11 02:00:00,298382.0,-1,298102.0,300298.0,-0.7312736015557879
2026-05-11 02:45:00,298058.0,1,298138.0,300298.0,-0.7192855097270046
2026-05-11 03:15:00,298058.0,1,298078.0,300298.0,-0.7392656627749769
2026-05-11 05:45:00,298058.0,1,298138.0,300298.0,-0.7192855097270046
2026-05-11 06:15:00,298058.0,1,298138.0,300298.0,-0.7192855097270046
2026-05-11 06:45:00,298058.0,1,298118.0,300298.0,-0.7259455607429953
2026-05-11 13:00:00,298058.0,1,298018.0,300298.0,-0.7592458158229491
2026-05-11 13:30:00,298058.0,1,298098.0,300298.0,-0.7326056117589861
2026-05-11 14:00:00,298058.0,1,298098.0,300298.0,-0.7326056117589861
2026-05-11 14:30:00,298058.0,1,298118.0,300298.0,-0.7259455607429953
2026-05-12 01:00:00,298058.0,1,298138.0,300298.0,-0.7192855097270046
2026-05-12 01:30:00,298094.0,-1,298374.0,300298.0,-0.6406969077383133
2026-05-12 02:00:00,298094.0,-1,298434.0,300298.0,-0.6207167546903409
2026-05-12 02:45:00,298094.0,-1,298434.0,300298.0,-0.6207167546903409
2026-05-12 03:15:00,298094.0,-1,298414.0,300298.0,-0.6273768057063317
2026-05-12 05:45:00,298094.0,-1,298374.0,300298.0,-0.6406969077383133
2026-05-12 06:15:00,298094.0,-1,298434.0,300298.0,-0.6207167546903409
2026-05-12 06:45:00,298094.0,-1,298394.0,300298.0,-0.6340368567223225
2026-05-12 13:00:00,298094.0,-1,298394.0,300298.0,-0.6340368567223225
2026-05-12 13:30:00,298094.0,-1,298254.0,300298.0,-0.680657213834258
2026-05-12 14:00:00,298094.0,-1,298254.0,300298.0,-0.680657213834258
2026-05-12 14:30:00,298094.0,-1,298154.0,300298.0,-0.7139574689142119
2026-05-13 01:00:00,298094.0,-1,298234.0,300298.0,-0.6873172648502487
2026-05-13 01:30:00,298094.0,-1,298214.0,300298.0,-0.6939773158662396
2026-05-13 02:00:00,298094.0,-1,298214.0,300298.0,-0.6939773158662396
2026-05-13 02:45:00,298094.0,-1,298214.0,300298.0,-0.6939773158662396
2026-05-13 03:15:00,298094.0,-1,298354.0,300298.0,-0.647356958754304
2026-05-13 05:45:00,298094.0,-1,298134.0,300298.0,-0.7206175199302026
2026-05-13 06:15:00,298094.0,-1,298174.0,300298.0,-0.7072974178982211
2026-05-13 06:45:00,298094.0,-1,298194.0,300298.0,-0.7006373668822303
2026-05-13 13:00:00,298094.0,-1,298214.0,300298.0,-0.6939773158662396
2026-05-13 13:30:00,298094.0,-1,298294.0,300298.0,-0.6673371118022764
2026-05-13 14:00:00,298094.0,-1,298414.0,300298.0,-0.6273768057063317
2026-05-13 14:30:00,298094.0,-1,298454.0,300298.0,-0.6140567036743501
2026-05-14 01:00:00,298094.0,-1,298434.0,300298.0,-0.6207167546903409
2026-05-14 01:30:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-05-14 02:00:00,298094.0,-1,298474.0,300298.0,-0.6073966526583594
2026-05-14 02:45:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-05-14 03:15:00,298094.0,-1,298454.0,300298.0,-0.6140567036743501
2026-05-14 05:45:00,298094.0,-1,298494.0,300298.0,-0.6007366016423685
2026-05-14 06:15:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-05-14 06:45:00,298094.0,-1,298494.0,300298.0,-0.6007366016423685
2026-05-14 13:00:00,298094.0,-1,298454.0,300298.0,-0.6140567036743501
2026-05-14 13:30:00,298094.0,-1,298474.0,300298.0,-0.6073966526583594
2026-05-14 14:00:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-05-14 14:30:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-05-15 01:00:00,298094.0,-1,298494.0,300298.0,-0.6007366016423685
2026-05-15 01:30:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-05-15 02:00:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-05-15 02:45:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-05-15 03:15:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-05-15 05:45:00,298094.0,-1,298714.0,300298.0,-0.52747604046647
2026-05-15 06:15:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-15 06:45:00,298094.0,-1,298774.0,300298.0,-0.5074958874184976
2026-05-15 13:00:00,298094.0,-1,298794.0,300298.0,-0.5008358364025068
2026-05-15 13:30:00,298094.0,-1,298674.0,300298.0,-0.5407961424984515
2026-05-15 14:00:00,298094.0,-1,298734.0,300298.0,-0.5208159894504791
2026-05-15 14:30:00,298094.0,-1,298734.0,300298.0,-0.5208159894504791
2026-05-18 01:00:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-18 01:30:00,298094.0,-1,298874.0,300298.0,-0.47419563233854367
2026-05-18 02:00:00,298094.0,-1,298674.0,300298.0,-0.5407961424984515
2026-05-18 02:45:00,298094.0,-1,298714.0,300298.0,-0.52747604046647
2026-05-18 03:15:00,298094.0,-1,298634.0,300298.0,-0.5541162445304332
2026-05-18 05:45:00,298094.0,-1,298674.0,300298.0,-0.5407961424984515
2026-05-18 06:15:00,298094.0,-1,298734.0,300298.0,-0.5208159894504791
2026-05-18 06:45:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-18 13:00:00,298094.0,-1,298854.0,300298.0,-0.4808556833545345
2026-05-18 13:30:00,298094.0,-1,298834.0,300298.0,-0.48751573437052526
2026-05-18 14:00:00,298094.0,-1,298854.0,300298.0,-0.4808556833545345
