datetime,equity,pos
2026-05-06 14:30:00,16892.0,0
2026-05-06 15:00:00,16892.0,0
2026-05-06 21:00:00,16892.0,0
2026-05-06 21:30:00,16892.0,0
2026-05-06 22:00:00,16892.0,0
2026-05-06 22:30:00,16892.0,0
2026-05-06 23:00:00,16892.0,0
2026-05-07 09:00:00,16892.0,0
2026-05-07 09:30:00,16892.0,0
2026-05-07 10:00:00,16892.0,0
2026-05-07 10:30:00,16892.0,0
2026-05-07 11:00:00,16892.0,0
2026-05-07 11:30:00,16892.0,0
2026-05-07 13:30:00,16892.0,0
2026-05-07 14:00:00,16892.0,0
2026-05-07 14:30:00,16892.0,0
2026-05-07 15:00:00,16892.0,0
2026-05-07 21:00:00,16892.0,0
2026-05-07 21:30:00,16892.0,0
2026-05-07 22:00:00,16892.0,0
2026-05-07 22:30:00,16892.0,0
2026-05-07 23:00:00,16892.0,0
2026-05-08 09:00:00,16892.0,0
2026-05-08 09:30:00,16892.0,0
2026-05-08 10:00:00,16892.0,0
2026-05-08 10:30:00,16892.0,0
2026-05-08 11:00:00,16892.0,0
2026-05-08 11:30:00,16892.0,0
2026-05-08 13:30:00,16892.0,0
2026-05-08 14:00:00,16892.0,0
2026-05-08 14:30:00,16892.0,0
2026-05-08 15:00:00,16892.0,0
2026-05-08 21:00:00,16892.0,0
2026-05-08 21:30:00,16892.0,0
2026-05-08 22:00:00,16892.0,0
2026-05-08 22:30:00,16892.0,0
2026-05-08 23:00:00,16892.0,0
2026-05-11 09:00:00,16892.0,0
2026-05-11 09:30:00,16892.0,0
2026-05-11 10:00:00,16892.0,0
2026-05-11 10:30:00,16892.0,0
2026-05-11 11:00:00,16892.0,0
2026-05-11 11:30:00,16892.0,0
2026-05-11 13:30:00,16892.0,0
2026-05-11 14:00:00,16892.0,0
2026-05-11 14:30:00,16892.0,0
2026-05-11 15:00:00,16892.0,0
2026-05-11 21:00:00,16892.0,0
2026-05-11 21:30:00,16892.0,0
2026-05-11 22:00:00,16892.0,0
2026-05-11 22:30:00,16892.0,0
2026-05-11 23:00:00,16892.0,0
2026-05-12 09:00:00,16892.0,0
2026-05-12 09:30:00,16892.0,0
2026-05-12 10:00:00,16892.0,0
2026-05-12 10:30:00,16892.0,0
2026-05-12 11:00:00,16892.0,0
2026-05-12 11:30:00,16892.0,0
2026-05-12 13:30:00,13871.2,-1
2026-05-12 14:00:00,13894.0,-1
2026-05-12 14:30:00,13894.0,-1
2026-05-12 15:00:00,13871.2,-1
2026-05-12 21:00:00,13871.2,-1
2026-05-12 21:30:00,13848.4,-1
2026-05-12 22:00:00,13688.8,-1
2026-05-12 22:30:00,13688.8,-1
2026-05-12 23:00:00,13577.6,-1
2026-05-13 09:00:00,13532.0,-1
2026-05-13 09:30:00,13648.8,-1
2026-05-13 10:00:00,13626.0,-1
2026-05-13 10:30:00,13623.2,-1
2026-05-13 11:00:00,13603.2,-1
