datetime,equity,pos
2026-01-30 14:30:00,13404.0,0
2026-01-30 15:00:00,13404.0,0
2026-01-30 21:00:00,13404.0,0
2026-01-30 21:30:00,13404.0,0
2026-01-30 22:00:00,13404.0,0
2026-01-30 22:30:00,13404.0,0
2026-01-30 23:00:00,13404.0,0
2026-02-02 09:00:00,13404.0,0
2026-02-02 09:30:00,13404.0,0
2026-02-02 10:00:00,13404.0,0
2026-02-02 10:30:00,13404.0,0
2026-02-02 11:00:00,13404.0,0
2026-02-02 11:30:00,13404.0,0
2026-02-02 13:30:00,13404.0,0
2026-02-02 14:00:00,13404.0,0
2026-02-02 14:30:00,13404.0,0
2026-02-02 15:00:00,13404.0,0
2026-02-02 21:00:00,13404.0,0
2026-02-02 21:30:00,13404.0,0
2026-02-02 22:00:00,13404.0,0
2026-02-02 22:30:00,13404.0,0
2026-02-02 23:00:00,13404.0,0
2026-02-03 09:00:00,13404.0,0
2026-02-03 09:30:00,13404.0,0
2026-02-03 10:00:00,13404.0,0
2026-02-03 10:30:00,13404.0,0
2026-02-03 11:00:00,13404.0,0
2026-02-03 11:30:00,13404.0,0
2026-02-03 13:30:00,13404.0,0
2026-02-03 14:00:00,13404.0,0
2026-02-03 14:30:00,13404.0,0
2026-02-03 15:00:00,13404.0,0
2026-02-03 21:00:00,13404.0,0
2026-02-03 21:30:00,13404.0,0
2026-02-03 22:00:00,13404.0,0
2026-02-03 22:30:00,13404.0,0
2026-02-03 23:00:00,13404.0,0
2026-02-04 09:00:00,13404.0,0
2026-02-04 09:30:00,13404.0,0
2026-02-04 10:00:00,13404.0,0
2026-02-04 10:30:00,13404.0,0
2026-02-04 11:00:00,13404.0,0
2026-02-04 11:30:00,13404.0,0
2026-02-04 13:30:00,13404.0,0
2026-02-04 14:00:00,13404.0,0
2026-02-04 14:30:00,13404.0,0
2026-02-04 15:00:00,13404.0,0
2026-02-04 21:00:00,13404.0,0
2026-02-04 21:30:00,13404.0,0
2026-02-04 22:00:00,13404.0,0
2026-02-04 22:30:00,13404.0,0
2026-02-04 23:00:00,13404.0,0
2026-02-05 09:00:00,13404.0,0
2026-02-05 09:30:00,13404.0,0
2026-02-05 10:00:00,13404.0,0
2026-02-05 10:30:00,13404.0,0
2026-02-05 11:00:00,13404.0,0
2026-02-05 11:30:00,13404.0,0
2026-02-05 13:30:00,13404.0,0
2026-02-05 14:00:00,13404.0,0
2026-02-05 14:30:00,13404.0,0
2026-02-05 15:00:00,13404.0,0
2026-02-05 21:00:00,13404.0,0
2026-02-05 21:30:00,13404.0,0
2026-02-05 22:00:00,13404.0,0
2026-02-05 22:30:00,13404.0,0
2026-02-05 23:00:00,13404.0,0
2026-02-06 09:00:00,13404.0,0
2026-02-06 09:30:00,13404.0,0
2026-02-06 10:00:00,13404.0,0
2026-02-06 10:30:00,13404.0,0
2026-02-06 11:00:00,13404.0,0
2026-02-06 11:30:00,13404.0,0
2026-02-06 13:30:00,13404.0,0
2026-02-06 14:00:00,13404.0,0
2026-02-06 14:30:00,13404.0,0
2026-02-06 15:00:00,13404.0,0
2026-02-06 21:00:00,13404.0,0
2026-02-06 21:30:00,10120.8,-1
2026-02-06 22:00:00,10234.8,-1
2026-02-06 22:30:00,10280.4,-1
2026-02-06 23:00:00,10280.4,-1
2026-02-09 09:00:00,10135.2,-1
2026-02-09 09:30:00,10249.2,-1
2026-02-09 10:00:00,10180.8,-1
2026-02-09 10:30:00,10158.0,-1
2026-02-09 11:00:00,10021.2,-1
2026-02-09 11:30:00,9972.8,-1
2026-02-09 13:30:00,9742.0,-1
2026-02-09 14:00:00,13036.0,0
2026-02-09 14:30:00,13036.0,0
2026-02-09 15:00:00,13036.0,0
2026-02-09 21:00:00,13036.0,0
2026-02-09 21:30:00,13036.0,0
2026-02-09 22:00:00,13036.0,0
2026-02-09 22:30:00,13036.0,0
2026-02-09 23:00:00,13036.0,0
2026-02-10 09:00:00,13036.0,0
2026-02-10 09:30:00,13036.0,0
2026-02-10 10:00:00,13036.0,0
2026-02-10 10:30:00,13036.0,0
2026-02-10 11:00:00,13036.0,0
2026-02-10 11:30:00,13036.0,0
