datetime,open,high,low,close,volume,open_interest
2026-06-26 13:55:00,973,974,972,972,3059.0,1826979.0
2026-06-26 13:56:00,972,973,972,973,809.0,1827191.0
2026-06-26 13:57:00,973,974,972,973,3144.0,1827429.0
2026-06-26 13:58:00,973,974,973,974,845.0,1827266.0
2026-06-26 13:59:00,974,974,973,973,950.0,1827447.0
2026-06-26 14:00:00,973,975,973,975,6673.0,1826651.0
2026-06-26 14:01:00,975,975,974,974,4523.0,1825783.0
2026-06-26 14:02:00,974,975,974,975,1255.0,1825779.0
2026-06-26 14:03:00,975,975,974,974,696.0,1825695.0
2026-06-26 14:04:00,974,975,973,973,5305.0,1827425.0
2026-06-26 14:05:00,973,974,973,974,366.0,1827433.0
2026-06-26 14:06:00,974,974,973,973,683.0,1827337.0
2026-06-26 14:07:00,973,974,973,973,489.0,1827262.0
2026-06-26 14:08:00,973,974,973,973,1437.0,1827523.0
2026-06-26 14:09:00,973,974,973,973,613.0,1827469.0
2026-06-26 14:10:00,973,974,973,973,482.0,1827495.0
2026-06-26 14:11:00,973,975,973,975,7649.0,1829203.0
2026-06-26 14:12:00,975,975,974,974,1026.0,1829018.0
2026-06-26 14:13:00,974,975,974,974,1083.0,1828824.0
2026-06-26 14:14:00,974,975,974,975,600.0,1828791.0
2026-06-26 14:15:00,975,975,974,974,3095.0,1829031.0
2026-06-26 14:16:00,974,975,974,975,929.0,1828851.0
2026-06-26 14:17:00,975,975,974,974,1239.0,1829042.0
2026-06-26 14:18:00,974,975,974,974,726.0,1828917.0
2026-06-26 14:19:00,974,975,973,973,2090.0,1828092.0
2026-06-26 14:20:00,973,975,973,975,2319.0,1827440.0
2026-06-26 14:21:00,975,975,974,975,1298.0,1826948.0
2026-06-26 14:22:00,975,975,974,975,4418.0,1825472.0
2026-06-26 14:23:00,975,976,974,974,5607.0,1825341.0
2026-06-26 14:24:00,974,975,974,975,2321.0,1824605.0
2026-06-26 14:25:00,975,975,974,974,808.0,1824734.0
2026-06-26 14:26:00,974,976,974,976,2514.0,1824891.0
2026-06-26 14:27:00,976,976,974,974,3231.0,1824582.0
2026-06-26 14:28:00,974,975,974,975,723.0,1824555.0
2026-06-26 14:29:00,975,975,974,975,840.0,1824745.0
2026-06-26 14:30:00,975,975,974,975,431.0,1824903.0
2026-06-26 14:31:00,975,975,974,975,911.0,1824605.0
2026-06-26 14:32:00,975,975,974,975,238.0,1824556.0
2026-06-26 14:33:00,975,975,974,975,195.0,1824491.0
2026-06-26 14:34:00,975,975,974,974,4298.0,1823366.0
2026-06-26 14:35:00,974,975,974,974,937.0,1823139.0
2026-06-26 14:36:00,974,975,974,974,803.0,1822982.0
2026-06-26 14:37:00,974,975,974,974,283.0,1823002.0
2026-06-26 14:38:00,974,975,974,974,455.0,1823142.0
2026-06-26 14:39:00,974,975,974,975,445.0,1823146.0
2026-06-26 14:40:00,975,975,974,974,493.0,1822951.0
2026-06-26 14:41:00,974,975,974,974,518.0,1822899.0
2026-06-26 14:42:00,974,975,974,974,3907.0,1822715.0
2026-06-26 14:43:00,974,975,974,974,416.0,1822670.0
2026-06-26 14:44:00,974,975,974,974,281.0,1822687.0
2026-06-26 14:45:00,974,976,974,976,6530.0,1822926.0
2026-06-26 14:46:00,976,976,975,975,884.0,1822699.0
2026-06-26 14:47:00,975,976,975,975,408.0,1822580.0
2026-06-26 14:48:00,975,976,975,976,637.0,1822510.0
2026-06-26 14:49:00,976,976,975,976,435.0,1822534.0
2026-06-26 14:50:00,976,977,975,976,10332.0,1820440.0
2026-06-26 14:51:00,976,977,976,977,2086.0,1819281.0
2026-06-26 14:52:00,977,977,976,977,1080.0,1818995.0
2026-06-26 14:53:00,977,977,976,976,10669.0,1815631.0
2026-06-26 14:54:00,976,977,976,977,5664.0,1813824.0
2026-06-26 14:55:00,977,977,976,977,1655.0,1813914.0
2026-06-26 14:56:00,977,977,976,976,1511.0,1813799.0
2026-06-26 14:57:00,976,977,976,976,1234.0,1813229.0
2026-06-26 14:58:00,976,977,976,976,2270.0,1812928.0
2026-06-26 14:59:00,976,977,975,976,12285.0,1808650.0
2026-06-29 01:00:00,976,977,971,971,24817.0,1811062.0
2026-06-29 01:01:00,971,972,968,969,24215.0,1815172.0
2026-06-29 01:02:00,969,971,968,970,11641.0,1818627.0
2026-06-29 01:03:00,970,970,968,969,16829.0,1821194.0
2026-06-29 01:04:00,969,971,968,970,12765.0,1821894.0
2026-06-29 01:05:00,970,972,970,971,7548.0,1822184.0
2026-06-29 01:06:00,971,972,970,972,4419.0,1822938.0
2026-06-29 01:07:00,972,973,971,973,6379.0,1823007.0
2026-06-29 01:08:00,973,973,970,971,6897.0,1825048.0
2026-06-29 01:09:00,971,971,970,971,1900.0,1825232.0
2026-06-29 01:10:00,971,971,970,971,1202.0,1825216.0
2026-06-29 01:11:00,971,972,970,972,1743.0,1824909.0
2026-06-29 01:12:00,972,972,970,972,3096.0,1825624.0
2026-06-29 01:13:00,972,972,970,971,4100.0,1826518.0
2026-06-29 01:14:00,971,972,971,972,810.0,1826737.0
2026-06-29 01:15:00,972,973,971,972,3984.0,1827546.0
2026-06-29 01:16:00,972,973,971,973,4431.0,1828861.0
2026-06-29 01:17:00,973,973,972,973,1326.0,1828719.0
2026-06-29 01:18:00,973,974,972,973,4387.0,1828843.0
2026-06-29 01:19:00,973,974,972,973,2341.0,1828045.0
