datetime,open,high,low,close,volume,open_interest
2026-06-01 02:11:00,1060,1060,1058,1059,4531,1334078
2026-06-01 02:12:00,1059,1059,1057,1059,6429,1334366
2026-06-01 02:13:00,1059,1059,1056,1057,6413,1333795
2026-06-01 02:14:00,1057,1058,1057,1058,2031,1333149
2026-06-01 02:30:00,1057,1058,1056,1056,5520,1331842
2026-06-01 02:31:00,1056,1057,1056,1056,3676,1331291
2026-06-01 02:32:00,1056,1058,1056,1058,2558,1331743
2026-06-01 02:33:00,1058,1058,1056,1056,1818,1331895
2026-06-01 02:34:00,1056,1057,1055,1055,3474,1331467
2026-06-01 02:35:00,1055,1056,1054,1055,5306,1331264
2026-06-01 02:36:00,1055,1057,1054,1056,3084,1332073
2026-06-01 02:37:00,1056,1056,1055,1055,1647,1332300
2026-06-01 02:38:00,1055,1056,1055,1056,777,1332399
2026-06-01 02:39:00,1056,1056,1055,1055,731,1332234
2026-06-01 02:40:00,1055,1056,1054,1054,2190,1331691
2026-06-01 02:41:00,1054,1055,1053,1054,3996,1331201
2026-06-01 02:42:00,1054,1055,1053,1054,3740,1330604
2026-06-01 02:43:00,1054,1056,1053,1055,4228,1330209
2026-06-01 02:44:00,1055,1056,1054,1055,876,1330065
2026-06-01 02:45:00,1055,1055,1054,1054,1998,1329764
2026-06-01 02:46:00,1054,1055,1054,1054,628,1329716
2026-06-01 02:47:00,1054,1055,1054,1054,723,1329648
2026-06-01 02:48:00,1054,1055,1053,1054,2903,1330368
2026-06-01 02:49:00,1054,1055,1054,1055,1701,1331037
2026-06-01 02:50:00,1055,1058,1054,1057,8941,1332763
2026-06-01 02:51:00,1057,1058,1056,1057,3046,1333385
2026-06-01 02:52:00,1057,1058,1056,1057,2169,1333779
2026-06-01 02:53:00,1057,1057,1056,1057,840,1334158
2026-06-01 02:54:00,1057,1058,1056,1058,1659,1334884
2026-06-01 02:55:00,1058,1059,1057,1058,8941,1339304
2026-06-01 02:56:00,1058,1058,1057,1058,955,1339945
2026-06-01 02:57:00,1058,1058,1057,1058,942,1340107
2026-06-01 02:58:00,1058,1058,1056,1057,1775,1340463
2026-06-01 02:59:00,1057,1058,1057,1058,1005,1340626
2026-06-01 03:00:00,1058,1058,1057,1057,418,1340629
2026-06-01 03:01:00,1057,1059,1057,1059,2280,1340244
2026-06-01 03:02:00,1059,1059,1057,1058,1479,1340284
2026-06-01 03:03:00,1058,1058,1057,1058,488,1340414
2026-06-01 03:04:00,1058,1058,1057,1058,1025,1340328
2026-06-01 03:05:00,1058,1058,1057,1057,1760,1339509
2026-06-01 03:06:00,1057,1058,1057,1058,844,1339370
2026-06-01 03:07:00,1058,1058,1057,1058,429,1339250
2026-06-01 03:08:00,1058,1058,1057,1058,707,1339326
2026-06-01 03:09:00,1058,1058,1057,1057,2238,1339537
2026-06-01 03:10:00,1057,1058,1057,1058,817,1339799
2026-06-01 03:11:00,1058,1058,1057,1058,825,1339575
2026-06-01 03:12:00,1058,1058,1057,1058,490,1339807
2026-06-01 03:13:00,1058,1058,1057,1057,336,1339810
2026-06-01 03:14:00,1057,1058,1057,1057,588,1339689
2026-06-01 03:15:00,1057,1058,1057,1057,1595,1339438
2026-06-01 03:16:00,1057,1057,1056,1056,776,1338957
2026-06-01 03:17:00,1056,1057,1054,1056,6458,1338772
2026-06-01 03:18:00,1056,1056,1055,1055,718,1338523
2026-06-01 03:19:00,1055,1056,1055,1055,897,1338664
2026-06-01 03:20:00,1055,1056,1054,1054,1681,1337682
2026-06-01 03:21:00,1054,1056,1054,1054,1527,1337760
2026-06-01 03:22:00,1054,1055,1054,1054,521,1337657
2026-06-01 03:23:00,1054,1055,1054,1055,987,1337755
2026-06-01 03:24:00,1055,1055,1054,1055,648,1337457
2026-06-01 03:25:00,1055,1055,1054,1054,823,1337206
2026-06-01 03:26:00,1054,1056,1054,1056,2821,1338190
2026-06-01 03:27:00,1056,1057,1055,1056,3575,1336470
2026-06-01 03:28:00,1056,1057,1056,1056,922,1336738
2026-06-01 03:29:00,1056,1057,1056,1056,1479,1336356
2026-06-01 05:30:00,1057,1058,1055,1056,4804,1335924
2026-06-01 05:31:00,1056,1056,1055,1056,1307,1335890
2026-06-01 05:32:00,1056,1056,1055,1056,664,1335893
2026-06-01 05:33:00,1056,1057,1055,1057,1963,1335790
2026-06-01 05:34:00,1057,1057,1056,1056,541,1335812
2026-06-01 05:35:00,1056,1057,1055,1056,1150,1335347
