date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2024-02-21,1,880000.0,88.0,9046.311510897212,0.0,9046.311510897212,8958.311510897212
2024-02-22,1,54420.0,5.442,-797.3679827760316,-12524.199235313718,-13321.567218089749,-13327.009218089748
2024-02-23,1,55240.0,5.524,42.59818712662309,-1108.9134739600559,-1066.3152868334328,-1071.8392868334327
2024-02-26,0,0.0,0.0,0.0,7827.6245220709825,7827.6245220709825,7827.6245220709825
2024-02-27,0,0.0,0.0,0.0,-18786.298852970358,-18786.298852970358,-18786.298852970358
2024-02-28,0,0.0,0.0,0.0,38094.439340745594,38094.439340745594,38094.439340745594
2024-02-29,1,53560.0,5.356,-91.84307836182597,-1043.6832696094643,-1135.5263479712903,-1140.8823479712903
2024-03-01,0,0.0,0.0,0.0,-3326.7404218801676,-3326.7404218801676,-3326.7404218801676
2024-03-04,0,0.0,0.0,0.0,554.4567369800279,554.4567369800279,554.4567369800279
2024-03-05,0,0.0,0.0,0.0,6653.480843760335,6653.480843760335,6653.480843760335
2024-03-06,0,0.0,0.0,0.0,-3326.7404218801676,-3326.7404218801676,-3326.7404218801676
2024-03-07,0,0.0,0.0,0.0,15524.788635440937,15524.788635440937,15524.788635440937
2024-03-08,1,52680.0,5.268000000000001,-91.23531962883135,-1108.9134739600559,-1200.1487935888872,-1205.4167935888872
2024-03-11,0,0.0,0.0,0.0,27005.304601145053,27005.304601145053,27005.304601145053
2024-03-12,1,51368.785926091114,5.136878592609111,-750.1473500318025,-15263.86781803858,-16014.015168070382,-16019.152046662992
2024-03-13,1,52140.0,5.214,-771.2140739088863,14252.799650604247,13481.585576695361,13476.371576695361
2024-03-14,1,51629.70674349348,5.162970674349348,391.3812261035582,2348.2873566214585,2739.6685827250167,2734.5056120506674
2024-03-15,0,0.0,0.0,0.0,-19829.982122579997,-19829.982122579997,-19829.982122579997
2024-03-18,1,52300.0,5.23,-2268.4332630960216,42758.39895181292,40489.9656887169,40484.73568871689
2024-03-19,1,100063.13347380796,10.006313347380797,-1239.373882661239,-11154.36494395115,-12393.738826612389,-12403.74513995977
2024-03-20,1,50651.2536782346,5.06512536782346,-554.4567369800279,11089.134739600559,10534.67800262053,10529.612877252706
2024-03-21,1,50080.0,5.008,-636.4838825851893,-11774.05188528177,-12410.535767866959,-12415.543767866959
2024-03-22,1,50455.563065182825,5.045556306518283,-521.8416348047322,15655.249044141965,15133.407409337233,15128.361853030714
2024-03-25,0,0.0,0.0,0.0,26026.85153588619,26026.85153588619,26026.85153588619
2024-03-26,1,97323.4648910831,9.732346489108311,65.23020435059152,-1239.373882661239,-1174.1436783106474,-1183.8760247997557
2024-03-27,0,0.0,0.0,0.0,11643.591476580586,11643.591476580586,11643.591476580586
2024-03-28,0,0.0,0.0,0.0,13013.4257679432,13013.4257679432,13013.4257679432
2024-03-29,1,47618.04917593207,4.761804917593207,-358.76612392825336,-10958.674330899375,-11317.440454827629,-11322.202259745221
2024-04-01,1,47781.12468680855,4.778112468680855,717.5322478565158,-11480.515965704308,-10762.983717847792,-10767.761830316473
2024-04-02,0,0.0,0.0,0.0,15068.177204986832,15068.177204986832,15068.177204986832
2024-04-03,0,0.0,0.0,0.0,-684.917145681211,-684.917145681211,-684.917145681211
2024-04-08,0,0.0,0.0,0.0,-60957.62596562816,-60957.62596562816,-60957.62596562816
2024-04-09,1,101480.0,10.148,1517.6614328801588,-16429.283510952693,-14911.622078072534,-14921.770078072534
2024-04-10,1,51520.0,5.152,114.89103537386654,-2585.1460597419555,-2470.255024368089,-2475.407024368089
2024-04-11,1,929880.0,92.988,-15758.747243321905,15306.785880051502,-451.9613632704022,-544.9493632704023
2024-04-12,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,1,957592.5246560244,95.75925246560244,-18980.414491263837,0.0,-18980.414491263837,-19076.17374372944
2024-05-06,0,0.0,0.0,0.0,39185.37185293184,39185.37185293184,39185.37185293184
2024-05-07,0,0.0,0.0,0.0,4285.900046414499,4285.900046414499,4285.900046414499
2024-05-08,1,981720.0,98.17200000000001,9432.960899126065,-9796.342963233,-363.382064106936,-461.55406410693604
2024-05-09,1,972720.0,97.272,14261.553545723436,0.0,14261.553545723436,14164.281545723436
2024-05-10,0,0.0,0.0,0.0,1224.542870404166,1224.542870404166,1224.542870404166
2024-05-13,0,0.0,0.0,0.0,-612.2714352021649,-612.2714352021649,-612.2714352021649
2024-05-14,0,0.0,0.0,0.0,-23878.585972880337,-23878.585972880337,-23878.585972880337
2024-05-15,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,1,963360.0,96.336,-10763.853406480102,10408.614398435002,-355.2390080451005,-451.5750080451005
2024-05-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,1,944292.6284802464,94.42926284802465,13878.152531246596,0.0,13878.152531246596,13783.723268398571
2024-05-22,0,0.0,0.0,0.0,9830.358042966545,9830.358042966545,9830.358042966545
2024-05-23,0,0.0,0.0,0.0,-8673.845332029277,-8673.845332029277,-8673.845332029277
2024-05-24,0,0.0,0.0,0.0,32960.61226171098,32960.61226171098,32960.61226171098
2024-05-27,0,0.0,0.0,0.0,-4047.7944882802058,-4047.7944882802058,-4047.7944882802058
2024-05-28,0,0.0,0.0,0.0,-12143.383464840927,-12143.383464840927,-12143.383464840927
2024-05-29,0,0.0,0.0,0.0,39321.432171865716,39321.432171865716,39321.432171865716
2024-05-30,0,0.0,0.0,0.0,-24865.02328515041,-24865.02328515041,-24865.02328515041
2024-05-31,0,0.0,0.0,0.0,-10986.870753903659,-10986.870753903659,-10986.870753903659
2024-06-03,0,0.0,0.0,0.0,-17925.947019526957,-17925.947019526957,-17925.947019526957
2024-06-04,0,0.0,0.0,0.0,7517.332621091855,7517.332621091855,7517.332621091855
2024-06-05,1,968660.0,96.866,-3967.189898208453,3469.5381328118037,-497.65176539664935,-594.5177653966493
2024-06-06,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,1,971280.0,97.128,-394.7676656719341,0.0,-394.7676656719341,-491.89566567193407
2024-06-21,0,0.0,0.0,0.0,4898.1714816165,4898.1714816165,4898.1714816165
2024-06-24,0,0.0,0.0,0.0,27552.214584092835,27552.214584092835,27552.214584092835
2024-06-25,1,52281.177550309374,5.2281177550309375,-476.2111162682686,-10408.614398435002,-10884.82551470327,-10890.0536324583
2024-06-26,0,0.0,0.0,0.0,-3877.7190896131924,-3877.7190896131924,-3877.7190896131924
2024-06-27,0,0.0,0.0,0.0,18096.022418194378,18096.022418194378,18096.022418194378
2024-06-28,1,52009.056912441796,5.20090569124418,-1054.467471736889,-20034.881963000887,-21089.34943473778,-21094.55034042902
2024-07-01,1,53063.52438417868,5.306352438417869,-306.13571760103696,6122.714352020739,5816.578634419702,5811.272281981284
2024-07-02,0,0.0,0.0,0.0,-17449.735903258763,-17449.735903258763,-17449.735903258763
