date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2024-05-08,0,0.0,0.0,0.0,-544.2412757351667,-544.2412757351667,-544.2412757351667
2024-05-09,0,0.0,0.0,0.0,816.3619136027501,816.3619136027501,816.3619136027501
2024-05-10,0,0.0,0.0,0.0,68.03015946689811,68.03015946689811,68.03015946689811
2024-05-13,0,0.0,0.0,0.0,-34.015079733453604,-34.015079733453604,-34.015079733453604
2024-05-14,0,0.0,0.0,0.0,-1326.5881096044632,-1326.5881096044632,-1326.5881096044632
2024-05-15,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0,0.0,0.0,0.0,578.2563554686112,578.2563554686112,578.2563554686112
2024-05-17,0,0.0,0.0,0.0,1530.6785880051575,1530.6785880051575,1530.6785880051575
2024-05-20,0,0.0,0.0,0.0,68.03015946688902,68.03015946688902,68.03015946688902
2024-05-21,0,0.0,0.0,0.0,646.2865149355093,646.2865149355093,646.2865149355093
2024-05-22,0,0.0,0.0,0.0,578.2563554686203,578.2563554686203,578.2563554686203
2024-05-23,0,0.0,0.0,0.0,-510.2261960017222,-510.2261960017222,-510.2261960017222
2024-05-24,0,0.0,0.0,0.0,1938.859544806528,1938.859544806528,1938.859544806528
2024-05-27,0,0.0,0.0,0.0,-238.10555813412975,-238.10555813412975,-238.10555813412975
2024-05-28,0,0.0,0.0,0.0,-714.3166744024074,-714.3166744024074,-714.3166744024074
2024-05-29,0,0.0,0.0,0.0,2313.025421874454,2313.025421874454,2313.025421874454
2024-05-30,0,0.0,0.0,0.0,-1462.6484285382594,-1462.6484285382594,-1462.6484285382594
2024-05-31,0,0.0,0.0,0.0,-646.2865149355093,-646.2865149355093,-646.2865149355093
2024-06-03,0,0.0,0.0,0.0,-1054.4674717368798,-1054.4674717368798,-1054.4674717368798
2024-06-04,0,0.0,0.0,0.0,442.196036534815,442.196036534815,442.196036534815
2024-06-05,0,0.0,0.0,0.0,204.09047840069434,204.09047840069434,204.09047840069434
2024-06-06,0,0.0,0.0,0.0,1938.859544806528,1938.859544806528,1938.859544806528
2024-06-07,0,0.0,0.0,0.0,-748.331754135852,-748.331754135852,-748.331754135852
2024-06-11,0,0.0,0.0,0.0,-1700.7539866723982,-1700.7539866723982,-1700.7539866723982
2024-06-12,1,56680.0,5.668,10.87716407584594,-34.01507973344451,-23.13791565759857,-28.805915657598568
2024-06-13,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,1,52009.056912441796,5.20090569124418,-1054.467471736889,0.0,-1054.467471736889,-1059.668377428133
2024-07-01,0,0.0,0.0,0.0,306.13571760103696,306.13571760103696,306.13571760103696
2024-07-02,0,0.0,0.0,0.0,-918.4071528030927,-918.4071528030927,-918.4071528030927
2024-07-03,0,0.0,0.0,0.0,-170.07539866724073,-170.07539866724073,-170.07539866724073
2024-07-04,0,0.0,0.0,0.0,306.13571760102786,306.13571760102786,306.13571760102786
